"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-21,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,336368,36254,Name of FF Member/OSBP,539420,-2971,Name of FF Member/OSBP,530553,-3111,,,
Name of Non-FF Member/OSNBP,2668,-566,Name of Non-FF Member/OSNBP,2224,75,Name of Non-FF Member/OSNBP,11091,215,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：ao2609,,,,,,,,,,2026-08-21,
1,0148(brokerage business),10454,837,1,0148(brokerage business),4034,-835,1,0148(brokerage business),11982,-1141
2,0163(brokerage business),9072,609,2,0004(brokerage business),3268,-1506,2,0004(brokerage business),6848,-427
3,0004(brokerage business),7759,830,3,0034(brokerage business),2877,-368,3,0058(brokerage business),3039,-477
4,0253(brokerage business),2349,-298,4,0272(brokerage business),2866,-357,4,0103(brokerage business),2220,-536
5,0123(brokerage business),2055,-312,5,0298(brokerage business),2790,-627,5,0059(brokerage business),2068,-845
6,0240(brokerage business),2037,303,6,0163(brokerage business),2775,-471,6,0272(brokerage business),2056,-303
7,0081(brokerage business),1966,481,7,0082(brokerage business),2342,-162,7,0274(brokerage business),1900,-720
8,0268(brokerage business),1375,-57,8,0240(brokerage business),2279,-348,8,0082(brokerage business),1805,-71
9,0275(brokerage business),1330,-159,9,0275(brokerage business),2027,-140,9,0096(brokerage business),1756,49
10,0059(brokerage business),1315,808,10,0277(brokerage business),1849,-62,10,0295(brokerage business),1712,-663
11,0272(brokerage business),1236,-172,11,0308(brokerage business),1730,-219,11,0349(brokerage business),1697,-229
12,0103(brokerage business),1211,355,12,0253(brokerage business),1657,-386,12,0253(brokerage business),1693,-119
13,0298(brokerage business),1152,199,13,0103(brokerage business),1597,-613,13,0151(brokerage business),1608,-542
14,0009(brokerage business),1113,-49,14,0161(brokerage business),1499,-103,14,0123(brokerage business),1573,-74
15,0295(brokerage business),984,614,15,0081(brokerage business),1484,-60,15,0136(brokerage business),1380,3
16,0274(brokerage business),911,679,16,0096(brokerage business),1473,-158,16,0163(brokerage business),1316,-1113
17,0034(brokerage business),685,169,17,0268(brokerage business),1466,-165,17,0153(brokerage business),1306,-109
18,0058(brokerage business),619,34,18,0069(brokerage business),1355,-95,18,0003(brokerage business),1148,-60
19,0151(brokerage business),609,69,19,0018(brokerage business),1347,-13,19,0139(brokerage business),1107,-100
20,0139(brokerage business),544,232,20,0123(brokerage business),1262,-187,20,0321(brokerage business),1107,-71
Total,,48776,5172,Total,,41977,-6875,Total,,49321,-7548
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：ao2610,,,,,,,,,,2026-08-21,
1,0004(brokerage business),71890,1425,1,0004(brokerage business),22121,864,1,0148(brokerage business),31932,-1664
2,0163(brokerage business),47445,4226,2,0148(brokerage business),20579,-1736,2,0004(brokerage business),26273,-2672
3,0148(brokerage business),46030,-1705,3,0272(brokerage business),18440,-835,3,0163(brokerage business),15986,-2680
